instance_id,db,dialect,n_gold,n_pred,n_tables_db,hit,recall,precision,strict,anchor_hit,max_gold_rank,ms,n_cols_db,n_cols_graph,ddl_tokens,n_gold_cols,n_pred_cols,col_recall,col_precision,col_strict,unresolved_cols,missed,missed_cols
bq011,ga4,bigquery,1,1,1,1,1.000,1.000,1,1,1,31.5,2116,108,1318,3,60,1.000,0.050,1,3,,
bq010,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,30.5,5522,338,2787,,,,,,7,,
bq009,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,28.2,5522,338,2803,,,,,,7,,
bq001,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,28.5,5522,338,2775,3,60,1.000,0.050,1,8,,
bq002,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,28.9,5522,338,2913,2,60,1.000,0.033,1,11,,
bq003,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,27.6,5522,338,2901,,,,,,11,,
bq004,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,27.9,5522,338,2786,,,,,,8,,
bq008,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,29.0,5522,338,2800,4,60,1.000,0.067,1,11,,
bq269,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,12.3,5522,338,3014,2,60,1.000,0.033,1,7,,
bq268,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,11.7,5522,338,1129,4,60,0.500,0.033,0,9,,ga_sessions_*.date;ga_sessions_*.hits
bq270,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,18.0,5522,338,1087,,,,,,10,,
bq275,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,11.1,5522,338,966,3,60,0.667,0.033,0,5,,ga_sessions_*.hits
bq374,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,13.3,5522,338,3005,,,,,,11,,
sf_bq029,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,10.2,79,79,2426,,,,,,,,
sf_bq026,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,7.9,79,79,2436,,,,,,,,
sf_bq091,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,6.6,79,79,2436,4,79,1.000,0.051,1,4,,
sf_bq099,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,7.1,79,79,2426,5,79,1.000,0.063,1,8,,
sf_bq033,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,7.0,79,79,2348,4,79,1.000,0.051,1,5,,
sf_bq209,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,8.6,79,79,2426,5,79,1.000,0.063,1,5,,
sf_bq027,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,7.3,79,79,2426,,,,,,,,
sf_bq210,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,6.6,79,79,2426,4,79,1.000,0.051,1,3,,
