instance_id,db,dialect,n_gold,n_pred,n_tables_db,hit,recall,precision,strict,anchor_hit,max_gold_rank,ms,missed
bq011,ga4,bigquery,1,1,1,1,1.000,1.000,1,1,1,1780.7,
bq010,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,34.6,
bq009,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,31.6,
bq001,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,30.5,
bq002,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,31.4,
bq003,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,33.3,
bq004,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,31.9,
bq008,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,33.5,
bq269,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,16.0,
bq268,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,14.3,
bq270,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,19.9,
bq275,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,14.6,
bq374,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,44.4,
sf_bq029,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,13.3,
sf_bq026,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,7.5,
sf_bq091,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,6.2,
sf_bq099,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,9.1,
sf_bq033,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,7.1,
sf_bq209,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,8.4,
sf_bq027,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,7.1,
sf_bq210,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,7.5,
sf_bq211,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,14.1,
sf_bq213,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,31.7,
sf_bq212,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,30.0,
sf_bq214,PATENTS_GOOGLE,snowflake,2,4,4,2,1.000,0.500,1,1,2,39.3,
sf_bq216,PATENTS_GOOGLE,snowflake,2,4,4,2,1.000,0.500,1,1,2,34.1,
sf_bq247,PATENTS_GOOGLE,snowflake,2,4,4,2,1.000,0.500,1,1,2,8.0,
sf_bq127,PATENTS_GOOGLE,snowflake,2,4,4,2,1.000,0.500,1,1,2,9.0,
sf_bq215,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,31.6,
sf_bq222,PATENTS,snowflake,2,3,3,2,1.000,0.667,1,1,2,18.8,
sf_bq221,PATENTS,snowflake,2,3,3,2,1.000,0.667,1,1,2,19.9,
sf_bq223,PATENTS,snowflake,2,3,3,2,1.000,0.667,1,1,2,62.4,
sf_bq420,PATENTS_USPTO,snowflake,3,20,46,2,0.667,0.100,0,0,44,47.4,patents_uspto.uspto_oce_office_actions.match_app
sf_bq207,PATENTS_USPTO,snowflake,3,20,46,2,0.667,0.100,0,0,28,28.2,patents_uspto.uspto_oce_assignment.match
sf_bq128,PATENTSVIEW,snowflake,4,20,59,4,1.000,0.200,1,0,20,70.9,
sf_bq246,PATENTSVIEW,snowflake,3,20,59,3,1.000,0.150,1,1,6,25.4,
sf_bq052,PATENTSVIEW,snowflake,5,20,59,5,1.000,0.250,1,0,18,26.2,
sf_bq036,GITHUB_REPOS,snowflake,2,6,6,2,1.000,0.333,1,0,6,10.1,
sf_bq100,GITHUB_REPOS,snowflake,1,6,6,1,1.000,0.167,1,1,1,6.2,
sf_bq101,GITHUB_REPOS,snowflake,1,6,6,1,1.000,0.167,1,1,1,5.9,
sf_bq182,GITHUB_REPOS_DATE,snowflake,2,9,9,2,1.000,0.222,1,0,9,18.1,
sf_bq217,GITHUB_REPOS_DATE,snowflake,2,9,9,2,1.000,0.222,1,0,9,9.5,
sf_bq191,GITHUB_REPOS_DATE,snowflake,3,9,9,3,1.000,0.333,1,0,9,9.1,
